Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
8/8/2025 22:42,STOCK,SELL,-1000,TO CLOSE,SPRU,,,STOCK,1.6001,1.6001,LMT
8/8/2025 22:41,STOCK,BUY,222,TO OPEN,SPRU,,,STOCK,1.71,1.71,LMT
8/8/2025 22:41,STOCK,BUY,278,TO OPEN,SPRU,,,STOCK,1.71,1.71,LMT
8/8/2025 22:40,STOCK,BUY,500,TO OPEN,SPRU,,,STOCK,1.67,1.67,LMT
8/8/2025 5:03,STOCK,SELL,-490,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-29,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-36,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-5,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-34,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-36,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 5:03,STOCK,SELL,-70,TO CLOSE,ADBE,,,STOCK,336,336,LMT
8/8/2025 3:20,STOCK,BUY,5,TO OPEN,ADBE,,,STOCK,333.88,333.88,LMT
8/8/2025 3:20,STOCK,BUY,195,TO OPEN,ADBE,,,STOCK,333.88,333.88,LMT
8/8/2025 3:10,STOCK,BUY,481,TO OPEN,ADBE,,,STOCK,335.25,335.25,LMT
8/8/2025 3:10,STOCK,BUY,1,TO OPEN,ADBE,,,STOCK,335.25,335.25,LMT
8/8/2025 3:10,STOCK,BUY,18,TO OPEN,ADBE,,,STOCK,335.25,335.25,LMT
8/8/2025 2:51,STOCK,BUY,2000,TO CLOSE,BTAI,,,STOCK,3.37,3.37,LMT
8/8/2025 2:48,STOCK,BUY,1741,TO CLOSE,BTAI,,,STOCK,3.37,3.37,LMT
8/8/2025 2:48,STOCK,BUY,259,TO CLOSE,BTAI,,,STOCK,3.37,3.37,LMT
8/8/2025 2:29,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.66,3.66,LMT
8/8/2025 2:01,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.68,3.68,LMT
8/8/2025 1:51,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.62,3.62,LMT
8/8/2025 1:28,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.6,3.6,LMT
8/8/2025 1:20,STOCK,SELL,-200,TO OPEN,BTAI,,,STOCK,3.58,3.58,LMT
8/8/2025 1:09,STOCK,SELL,-500,TO OPEN,BTAI,,,STOCK,3.52,3.52,LMT
8/8/2025 0:48,STOCK,SELL,-1000,TO CLOSE,BRLT,,,STOCK,2.3,2.3,LMT
